"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1850524084385493346","Sun Oct 27 13:04:57 +0000 2024","15","PUSH-PULL (SHORT FILM VIDIO) Film pendek dibawah 10 menit yang sangat heartfelt berhumor getir tentang sepasang pasutri pengurus restoran di ambang perceraian. Sambil perlahan menggergaji meja mereka berdialog seakan simbolik perceraian mereka hanya sebatas angan dan https://t.co/pDNoSby1Hj","1850524084385493346","https://pbs.twimg.com/media/Ga5h1-Ua8AAGZIX.jpg","","in","Jakarta Capital Region","1","1","2","https://x.com/GilaFilmID/status/1850524084385493346","538972199","GilaFilmID"
"1851406188526617022","Tue Oct 29 23:30:07 +0000 2024","34","SELEBRITI | Alhamdulillah saya mendengar perkhabaran ini (fail perceraian) dan macam seperti semua orang maklum saya sayangkan isteri. Saya sayangkan anak-anak saya doakan yang baik-baik - Farid Kamil #BuletinTV3 #FaridKamil #DianaDanielle #Cerai https://t.co/2yJOjdqS3B","1851406188526617022","https://pbs.twimg.com/media/GbGEGZ_WgAAdLzW.jpg","","in","Sri Pentas, Bandar Utama","0","1","2","https://x.com/BuletinTV3/status/1851406188526617022","155432431","BuletinTV3"
"1850900291648098539","Mon Oct 28 14:01:17 +0000 2024","596","@kegblgnunfaedh Pernikahan ga gampang gpp angka menurun daripada banyak nikah banyak anak ekonomi sulit perceraian tinggi . Lebih baik gini tunggu siap baru nikah.","1850900647211913294","","kegblgnunfaedh","in","Earth","2","6","30","https://x.com/Prismrangers/status/1850900647211913294","1475312275200249862","Prismrangers"
"1851858939157069962","Thu Oct 31 06:03:25 +0000 2024","3","@BudiBukanIntel @nectourn apalagi jumlah perceraian makin tinggi itu justru signal kalau perempuan punya kesetaraan lebih tinggi karena bisa memilih perubahan dan ngga dipaksa keberlanjutan sama suaminya.","1851867553020416181","","BudiBukanIntel","in","","1","0","1","https://x.com/zzzoooooooom/status/1851867553020416181","1170564061836140544","zzzoooooooom"
"1850006183609852266","Sat Oct 26 02:47:00 +0000 2024","0","Setelah 25 tahun bersama Ari Lasso resmi cerai dengan Vitta Dessy. Kabar ini diungkap Ari sendiri perceraian mereka ternyata sudah terjadi sejak Februari 2024. #detikhot #AriLasso https://t.co/l4lrUjY3jn","1850006183609852266","https://pbs.twimg.com/ext_tw_video_thumb/1850006167306584064/pu/img/csextlkGS70lY79s.jpg","","in","Jakarta, Indonesia","0","0","0","https://x.com/detikhot/status/1850006183609852266","137282671","detikhot"
"1850104317560459395","Sat Oct 26 09:16:57 +0000 2024","24","CINTA di ONLINE bisa ada PERCERAIAN ONLINE namanya BLOKIR @nulbesars @kang___L @BJakara171CGK @vanc1Bozz @B_dzoel @JenggoBang82778 @kangjaill @dyahNeZza @Nurulkjo1 @LibraLuv3 @SandraUnie @Safa_Andriana @LeilaLylie @DestaMega27 @surasujaya @liaasister @tedy_bambang https://t.co/75AiuA2hdy","1850104317560459395","https://pbs.twimg.com/ext_tw_video_thumb/1850104250208227328/pu/img/3ilRr4TUYI0CqCno.jpg","","in","","0","13","14","https://x.com/Muslim_AntiPKI9/status/1850104317560459395","1604091267834474498","Muslim_AntiPKI9"
"1851203988093624436","Tue Oct 29 10:06:39 +0000 2024","2","Namanya Tersandung Isu Perceraian Baim Wong dan Paula Verhoeven Dimas Andrean Akhirnya Siap Lawan dan Pertimbangkan untuk...: Dimas Andrean akhirnya angkat bicara soal fotonya yang digunakan tanpa izin di sebuah kanal YouTube terkait isu perselingkuhan https://t.co/lWtmLKv31e https://t.co/qYPngSnIDW","1851203988093624436","https://pbs.twimg.com/media/GbDMN6PbQAIc7od.jpg","","in","Pulo Gadung, Indonesia","0","1","0","https://x.com/tvOneNews/status/1851203988093624436","55507370","tvOneNews"
"1847810787047592076","Sun Oct 20 01:23:16 +0000 2024","2665","Ternyata benar yang paling menyiksa anak bukanlah perceraian orang tua melainkan orang tua yang bertahan karena keterpaksaan","1847810787047592076","","","in","Indonesia","38","60","472","https://x.com/FiersaBesari/status/1847810787047592076","1422951168","FiersaBesari"
"1848424926673272848","Mon Oct 21 18:03:39 +0000 2024","171","1. Seks edu tabu 2. Org2 bodoh berkeliaran 3. No safe sex/normalisasi pelecehan 4. hamil/STDs 5. gbs aborsi krna tabu/aborsi illegal/dinikahin dini 6. anaknya korban dilahirkan dgn ortu yg ga siap/kematian/perceraian dan kdrt 7. Generasi sdm rendah bertambah 8. Negara mundur","1848424926673272848","","","in","","2","1","62","https://x.com/laven_rianas/status/1848424926673272848","1508417528095449095","laven_rianas"
"1850558978532749745","Sun Oct 27 15:23:36 +0000 2024","198","Perceraian tidak hanya memutus hubungan suami-istri tetapi juga melibatkan pembagian harta bersama. Hukum Indonesia membedakan antara harta bawaan dan harta yang diperoleh selama pernikahan dengan aturan spesifik terkait pembagian keduanya. --- A Thread ---","1850558978532749745","","","in","Kota Yogyakarta, Yogyakarta","0","195","0","https://x.com/bbgjulianto/status/1850558978532749745","354796343","bbgjulianto"
"1849618732727009756","Fri Oct 25 01:07:24 +0000 2024","9625","Polisi akan melakukan investigasi kepada Choi Minhwan setelah mantan istrinya Yulhee share video 37 menit yang berisi alasan perceraian mereka. Di video tersebut ada rekaman Minhwan yang Berencana untuk berkunjung ke tempat hiburan malam dan bertanya kepada seseorang tentang https://t.co/uNPdU9lneH","1849618732727009756","https://pbs.twimg.com/media/GasptM9a8AAIYY7.jpg","","in","TMIHarini","1517","313","1507","https://x.com/tang__kira/status/1849618732727009756","1211794832","tang__kira"
"1851195307675058646","Tue Oct 29 09:32:09 +0000 2024","0","#Foto Sidang perceraian Paula Verhoeven dan Baim Wong yang dijadwalkan hari ini (29/10) gagal total! Paula gak hadir menjadi alasan mediasi tersebut nggak bisa dilanjut. &gt;&gt; https://t.co/vTh51T45Yp Foto: Hilalia/detikhot #detikhot #baimwong #paula https://t.co/gxAFJIRF2C","1851195307675058646","https://pbs.twimg.com/media/GbDEUZhXoAAVoRJ.jpg","","in","Jakarta, Indonesia","0","0","0","https://x.com/detikhot/status/1851195307675058646","137282671","detikhot"
"1849781769731702883","Fri Oct 25 11:55:15 +0000 2024","522","25 Tahun Menikah Ari Lasso Umumkan Perceraian dengan Vitta Dessy https://t.co/5S0sqUPGZv","1849781769731702883","","","in","Indonesia","58","123","87","https://x.com/KompasTV/status/1849781769731702883","71436318","KompasTV"
"1850768050943090877","Mon Oct 28 05:14:23 +0000 2024","9","Baru-baru ini Inara Rusli mendadak mengunggah sebuah akta cerai di medsos. Di media sosial Instagram @mommy_starla Inara Rusli memperlihatkan akta perceraian dia dengan Virgoun. A THREAD. https://t.co/3FtpxXIZKC","1850768050943090877","https://pbs.twimg.com/media/Ga8_hmMaYAA-z-u.jpg","","in","","1","2","1","https://x.com/dramatiktokid/status/1850768050943090877","867255907","dramatiktokid"
"1851892108199870864","Thu Oct 31 07:40:59 +0000 2024","10","ttp invalid kalo diliat dri data kuanti perceraian u guys know nothing org batak sangat menganggap tabu perceraian apalagi kalau kristen. so banyak yg bertahan karna takut digunjing alasan anak atau bahkan sbnrnya udh pisah rumah cmn ga cerai aja.","1851892108199870864","","","in","","0","1","2","https://x.com/piesusu_d/status/1851892108199870864","1737070721317453824","piesusu_d"
"1852495419861070095","Fri Nov 01 23:38:20 +0000 2024","2","Paula Verhoeven Tetap Profesional Bekerja Di Tengah Perceraian - Absen Dua Kali Sidang Cerai #VideoKL https://t.co/q1GBIlndnc","1852495419861070095","https://pbs.twimg.com/amplify_video_thumb/1852494572305412096/img/7Uibm5L4KrtE0sY5.jpg","","in","Indonesia","1","2","0","https://x.com/KapanLagicom/status/1852495419861070095","31355801","KapanLagicom"
"1850752853243216029","Mon Oct 28 04:14:00 +0000 2024","10","Bullshit. Coba ke pengadilan agama Riau. Tarik data perceraian karena ekonomi dari 2014 ke 2024. Kasih trend graphnya yang akurat baru gue percaya. Observation bias ditolak.","1850752853243216029","","","in","+62","0","0","4","https://x.com/amodernretroguy/status/1850752853243216029","878466583781232644","amodernretroguy"
"1851399134747722090","Tue Oct 29 23:02:05 +0000 2024","6","Farid Kamil berikrar untuk memulihkan kembali hubungannya dengan Diana Danielle yang dilaporkan mahu memfailkan perceraian kali kedua. https://t.co/OFzCQKJUO1 #AWANInews #AWANIpagi [HIBURAN]","1851399134747722090","","","in","Malaysia","0","0","1","https://x.com/501Awani/status/1851399134747722090","497665754","501Awani"
"1851143848376058355","Tue Oct 29 06:07:40 +0000 2024","1","Diana Danielle Tekad Untuk Bercerai #MGFlash Datuk Akberdin Abdul Kadir yang mewakili pelakon Diana Danielle memaklumkan telah menerima arahan daripada anak guamnya untuk memfailkan perceraian terhadap suaminya Farid Kamil. https://t.co/a1Xuoje4zJ","1851143848376058355","https://pbs.twimg.com/ext_tw_video_thumb/1851143545018785792/pu/img/8wn45D6h_bFWwoeI.jpg","","in","Kuala Lumpur","0","0","2","https://x.com/MalaysiaGazette/status/1851143848376058355","1600369057","MalaysiaGazette"
"1851476200935604580","Wed Oct 30 04:08:19 +0000 2024","4","Datuk Yusof Haslam yang terkejut dengan perceraian dalam kalangan selebriti tanah air berkata sebagai lelaki janganlah menganggap memujuk isteri sebagai mereka kalah. https://t.co/5DtZYsHlXM","1851476200935604580","","","in","Malaysia","0","0","2","https://x.com/hmetromy/status/1851476200935604580","63070015","hmetromy"
"1850866043599655314","Mon Oct 28 11:43:46 +0000 2024","587"," Saya ambil keputusan untuk secara rasmi berpisah daripada suami saya dan akan memfailkan perceraian. #AWANInews #AWANI745 https://t.co/mZlfhakH8t","1850866043599655314","","","in","Malaysia","73","42","177","https://x.com/501Awani/status/1850866043599655314","497665754","501Awani"
"1848954292918751463","Wed Oct 23 05:07:09 +0000 2024","2","4 Drama Korea tentang Perceraian Tayang Tahun 2024 Wajib Masuk Daftar Nonton https://t.co/BCCElK2eMC","1848954292918751463","","","in","Indonesia","0","0","4","https://x.com/KapanlagiKorea/status/1848954292918751463","1164796212249161734","KapanlagiKorea"
"1850074942101946396","Sat Oct 26 07:20:13 +0000 2024","623","Tanyarl Ada yg pernah ngalamin kaya aku ga ya ? Dan paham sama agama. Boleh kasih pencerahan soal perceraian ini ga? Makasih https://t.co/sNdsUj6thI","1850074942101946396","https://pbs.twimg.com/media/GazJWnbakAAo9IM.jpg","","in","Indonesia","25","169","8","https://x.com/tanyakanrl/status/1850074942101946396","1331650559518990336","tanyakanrl"
"1850862759841558982","Mon Oct 28 11:30:43 +0000 2024","3"," Mereka melafazkan talak secara ekspress . Ini contoh permohonan perceraian secara fast track. Permohonan ini adalah satu kaedah Mahkamah memudahkan proses perceraian dan mengurangkan kes-kes tertunggak.","1850862759841558982","","","in","","0","1","0","https://x.com/RajaHaziq213/status/1850862759841558982","1524959954998009858","RajaHaziq213"
